cleaned_source,cleaned_target
i eat pork.,START_ म पोर्क खान्छु। _END
i eat rice.,START_ म भात खान्छु। _END
i feel old.,START_ मलाई बुढो हुदै गए जस्तो लाग्छ। _END
i like you.,START_ म तिमीलाई मन पराउँछु। _END
i love you.,START_ म तिमीलाई माया गर्छु। _END
i miss you.,START_ म तिमीलाई सम्झन्छु। _END
im chubby.,START_ म मोटो छु। _END
im chubby.,START_ म मोटी छु। _END
love hurts.,START_ मायाले दुख दिन्छ। _END
turn it up.,START_ अलिक ठूलो बनाउनुहोस्। _END
we are men.,START_ हामी पुरुष हौं। _END
who is tom?,START_ टम को हो? _END
beers good.,START_ बियर राम्रो हो। _END
beers good.,START_ बियर राम्रो छ। _END
dont worry.,START_ चिन्ता नगर। _END
dont worry.,START_ चिन्ता नगर! _END
have a beer.,START_ बियर खानुहोस्। _END
he is alone.,START_ ऊ एक्लै छ । _END
he is alone.,START_ उहाँ एक्लै हुनुहुन्छ। _END
he is eight.,START_ ऊ आठ वर्षको छ। _END
he is happy.,START_ ऊ खुसी छ। _END
he is happy.,START_ उहाँ खुसी हुनुहुन्छ। _END
here we are!,START_ हामी यहाँ छौ! _END
here we are.,START_ हामी यहाँ छौ। _END
i also went.,START_ म पनि गएँ। _END
i am a cook.,START_ म कुक हुँ। _END
i am coming.,START_ म आउदै छु। _END
i am taller.,START_ म अग्लो छु। _END
i assume so.,START_ म त्यसै मान्छु। _END
i came back.,START_ म फर्केर आएँ । _END
i eat alone.,START_ म एक्लै खान्छु। _END
i eat beans.,START_ म गेडागुडी खान्छु। _END
i eat bread.,START_ म रोटी खान्छु। _END
i eat bread.,START_ म पाउरोटी खान्छु। _END
i eat fruit.,START_ म फलफूल खान्छु। _END
i like peas.,START_ मलाई मटर मन पर्छ। _END
i live here.,START_ म यहाँ बस्छु। _END
i read lips.,START_ म ओठ पढ्छु । _END
i trust him.,START_ म उसलाई विश्वास गर्छु। _END
i went home.,START_ म घर गए। _END
"i went, too.",START_ म पनि गएँ। _END
i will stay.,START_ म बस्नेछु। _END
ill decide.,START_ म निर्णय गर्छु। _END
ill decide.,START_ म निर्णय गर्नेछु। _END
im starved.,START_ मलाई धेरै भोक लागेको छ। _END
lets hurry.,START_ हतार गरौं। _END
"ok, you win.","START_ ठिक छ, तिमीले जित्यौ। _END"
say my name.,START_ मेरो नाम भन। _END
she is dead.,START_ तिनी मरिसकेकी छिन्। _END
she is kind.,START_ उनी दयालु छिन्। _END
tom is here.,START_ टम यहाँ छ। _END
we are sick.,START_ हामी बिरामी छौं। _END
whats this?,START_ यो के हो? _END
am i in debt?,START_ के म ऋणमा छु? _END
did tom fall?,START_ के टम खसेको थियो? _END
drive faster.,START_ छिटो चलाउनुहोस्। _END
ghosts exist.,START_ भूतहरू छन्। _END
he is asleep.,START_ ऊ सुतिरहेको छ। _END
he is cranky.,START_ ऊ चकचके छ। _END
he is eating.,START_ उ खादै छ। _END
he seems ill.,START_ ऊ बिरामी देखिन्छ। _END
i am chinese.,START_ म चिनियाँ हुँ। _END
i am chinese.,START_ म चाइनिज हुँ। _END
i am curious.,START_ म उत्सुक छु। _END
i am curious.,START_ म जिज्ञासु छु _END
i am working.,START_ म काम गर्दैछु। _END
i am working.,START_ म काम गरिरहेको छु। _END
i dont know.,START_ मलाई थाहा छैन। _END
i dont know.,START_ थाहा छैन। _END
i drink beer.,START_ म बियर पिउँछु। _END
i drink milk.,START_ म दूध पिउँछु। _END
i drink wine.,START_ म वाइन पिउँछु। _END
i eat cheese.,START_ म चीज खान्छु। _END
i eat slowly.,START_ म बिस्तारै खान्छु। _END
i have a map.,START_ म सँग नक्सा छ। _END
i like steak.,START_ मलाई स्टेक मन पर्छ। _END
i live alone.,START_ म एक्लै बस्छु। _END
i need a pet.,START_ मलाई एउटा पाल्तु जनावर चाहिन्छ। _END
i read books.,START_ म किताबहरू पढ्छु । _END
i want a dog.,START_ मलाई एउटा कुकुर चाहियो। _END
i went there.,START_ म त्यहाँ गएँ। _END
i went twice.,START_ म दुई पटक गएँ । _END
i will fight.,START_ म लड्नेछु। _END
i will learn.,START_ म सिक्नेछु। _END
make a guess.,START_ अनुमान गर्नुहोस्। _END
my eyes hurt.,START_ मेरो आँखा दुखिरहेको छ! _END
she is eight.,START_ उनी आठ वर्षकी हुन् । _END
she is happy.,START_ उनी खुसी छिन् । _END
she is lucky.,START_ उनी भाग्यमानी छिन्। _END
she is quiet.,START_ उनी शान्त छिन्। _END
she is sharp.,START_ तिनी तीक्ष्ण छिन्। _END
she is wrong.,START_ उनी गलत छिन्। _END
tom got rich.,START_ टम धनी भयो। _END
tom hates me.,START_ टमले मलाई घृणा गर्छ। _END
we are happy.,START_ हामी खुसी छौं। _END
we dont lie.,START_ हामी झूट बोल्दैनौं। _END
we have room.,START_ हामीसँग कोठा छ। _END
what is this?,START_ यो के हो? _END
did tom paint?,START_ टमले पेन्ट गर्यो? _END
he drank beer.,START_ उनले बियर पिए । _END
he drank beer.,START_ उसले बियर पियो । _END
he is foolish.,START_ ऊ मूर्ख छ। _END
he seems kind.,START_ उनी दयालु देखिन्छन्। _END
he seems kind.,START_ उहाँ दयालु देखिनुहुन्छ। _END
i am japanese.,START_ म जापानीज हुँ। _END
i am a runner.,START_ म एक धावक हुँ। _END
i am divorced.,START_ म सम्बन्धविच्छेद भएको हु। _END
i am studying.,START_ म पढिरहेको छु। _END
i am studying.,START_ म पढ्दै छु। _END
i cant watch.,START_ म हेर्न सक्दिन। _END
i drink a lot.,START_ म धेरै पिउँछु। _END
i eat bananas.,START_ म केरा खान्छु। _END
i eat chicken.,START_ म कुखुराको मासु खान्छु । _END
i live nearby.,START_ म नजिकै बस्छु। _END
i must go out.,START_ म बाहिर जानु पर्छ। _END
i read novels.,START_ मैले उपन्यासहरू पढे। _END
i should quit.,START_ मैले छाड्नु पर्छ। _END
i was excited.,START_ म उत्साहित थिएँ। _END
i went aboard.,START_ म विदेश गएँ । _END
i went abroad.,START_ म विदेश गएँ । _END
i went hiking.,START_ म पदयात्रामा गएँ। _END
i went inside.,START_ म भित्र गएँ । _END
i went skiing.,START_ म स्कीइङ गर्न गएँ। _END
im ambitious.,START_ म महत्वाकांक्षी छु। _END
im an addict.,START_ म एक लतमा लागेको व्यक्ति हुँ। _END
im not brave.,START_ म साहसी छैन। _END
im not crazy.,START_ म पागल होइन। _END
im not crazy.,START_ म पागल छैन। _END
is tom asleep?,START_ के टम सुतिरहेको छ? _END
is tom famous?,START_ के टम प्रसिद्ध छ? _END
itll be easy.,START_ यो सजिलो हुनेछ। _END
its not mine.,START_ यो मेरो होइन। _END
life is short.,START_ जिवन छोटो छ। _END
my names tom.,START_ मेरो नाम टम हो। _END
please fix it.,START_ कृपया यसलाई ठीक गर्नुहोस्। _END
she is french.,START_ उनी फ्रान्सेली हुन्। _END
she is active.,START_ उनी सक्रिय छिन्। _END
she is crying.,START_ उनी रुदै छिन् । _END
she is crying.,START_ उनी रोइरहेकी छिन् । _END
she is eating.,START_ उनी खाइरहेकि छिन् । _END
she is strong.,START_ तिनी बलियो छिन्। _END
thats a fake.,START_ त्यो नक्कली हो। _END
this is a map.,START_ यो नक्सा हो। _END
this is a map.,START_ यो एउटा नक्शा हो। _END
tom isnt new.,START_ टम नयाँ होइन। _END
tom was scary.,START_ टम डरलाग्दो थियो। _END
we are hungry.,START_ हामी भोकाएका छौं। _END
we drank beer.,START_ हामीले बियर पियौं। _END
whos driving?,START_ कसले गाडी चलाउदै छ? _END
whos singing?,START_ कसले गाउँदै छ? _END
will you clap?,START_ के तिमी ताली बजाउछौ ? _END
"a beer, please.","START_ कृपया, एक बियर। _END"
are you sleepy?,START_ के तपाईलाई निद्रा लागेको छ ? _END
can i eat that?,START_ के म त्यो खान सक्छु? _END
can i eat this?,START_ के म यो खान सक्छु? _END
girls love tom.,START_ केटीहरू टमलाई मन पराउँछन्। _END
happy birthday!,START_ जन्मदिनको शुभकामना _END
he is a doctor.,START_ उहाँ डाक्टर हुनुहुन्छ। _END
he is powerful.,START_ उहाँ शक्तिशाली हुनुहुन्छ। _END
he is powerful.,START_ ऊ शक्तिशाली छ। _END
he was at home.,START_ ऊ घरमै थियो। _END
"here, try some.","START_ यहाँ, केहि प्रयास गर्नुहोस्। _END"
how is it made?,START_ यो कसरी बनेको छ? _END
i am a student.,START_ म विद्यार्थी हुँ। _END
i am a teacher.,START_ म शिक्षक हुँ। _END
i am an artist.,START_ म एक कलाकार हुँ। _END
i cant see it.,START_ म यो देख्न सक्दिन। _END
i cant see it.,START_ म यसलाई देख्न सक्दिन। _END
i danced alone.,START_ म एक्लै नाचेँ । _END
i drink coffee.,START_ म कफी पिउछु। _END
i eat anything.,START_ म जे पनि खान्छु। _END
i eat tomatoes.,START_ म टमाटर खान्छु। _END
i expect a lot.,START_ म धेरै अपेक्षा गर्छु। _END
i have a dream.,START_ मसँग एउटा सपना छ। _END
i have hiccups.,START_ मलाई बाडुली लागेको छ। _END
i have one kid.,START_ मेरो एउटा बच्चा छ। _END
i just checked.,START_ मैले भर्खरै चेक गरे। _END
i like my name.,START_ मलाई मेरो नाम मन पर्छ। _END
i like sashimi.,START_ मलाई शशिमी मन पर्छ। _END
i need tom now.,START_ अब मलाई टम चाहिन्छ। _END
i remember tom.,START_ म टमलाई सम्झन्छु। _END
i speak french.,START_ म फ्रेन्च बोल्न सक्छु। _END
i was sleeping.,START_ म सुतिरहेको थिए। _END
i went fishing.,START_ म माछा मार्न गएँ। _END
i went on foot.,START_ म पैदल गएँ । _END
i went outside.,START_ म बाहिर गएँ । _END
i will survive.,START_ म बाच्ने छु। _END
im a criminal.,START_ म एक अपराधी हुँ। _END
im a rich kid.,START_ म एक धनी बच्चा हुँ। _END
im only human.,START_ म मान्छे मात्रै हुँ। _END
im very angry.,START_ म धेरै रिसाएको छु। _END
is he sleeping?,START_ के ऊ सुतिरहेको छ? _END
it was raining.,START_ पानी परिरहेको थियो। _END
leave me alone!,START_ मलाई एक्लै छाडिदेउ! _END
lets be clear.,START_ प्रष्ट होऔं। _END
lets be clear.,START_ प्रष्ट बनौं। _END
lets hurry up.,START_ हतार गरौं। _END
many fish died.,START_ धेरै माछा मरे। _END
my name is tom.,START_ मेरो नाम टम हो। _END
shall we begin?,START_ सुरु गरौँ कि? _END
shall we begin?,START_ सुरु गरौँ त? _END
shall we begin?,START_ श्रीगणेश गरौँ त? _END
shall we start?,START_ सुरु गरौँ कि? _END
shall we start?,START_ सुरु गरौँ त? _END
shall we start?,START_ श्रीगणेश गरौँ त? _END
she is dieting.,START_ उनी डाइटिङ गरिरहेकी छिन् । _END
this is a book.,START_ यो पुस्तक हो। _END
tom apologized.,START_ टमले माफी मागे। _END
tom apologized.,START_ टमले माफी माग्यो। _END
tom hated mary.,START_ टम मेरीलाई घृणा गर्थ्यो। _END
tom hated this.,START_ टमले यसलाई घृणा गर्यो। _END
tom hates bugs.,START_ टमले किराहरूलाई घृणा गर्छ। _END
tom is my name.,START_ टम मेरो नाम हो। _END
tom is talking.,START_ टम बोल्दै छ। _END
tom seems nice.,START_ टम राम्रो देखिन्छ। _END
tom wore a cap.,START_ टमले टोपी लगाएको थियो। _END
tom wore jeans.,START_ टमले जिन्स लगाएका थिए। _END
toms not sick.,START_ टम बिरामी छैन। _END
we are cousins.,START_ हामी दाजुभाइ हौं। _END
we are doctors.,START_ हामी डाक्टर हौं। _END
what can i eat?,START_ म के खान सक्छु? _END
what can i eat?,START_ मैले के खादा राम्रो हुन्छ? _END
what do i need?,START_ मलाई के चाहिन्छ? _END
are you a local?,START_ के तपाइँ स्थानीय हुनुहुन्छ? _END
are you chicken?,START_ तपाई कुखुरा हो? _END
did tom ask you?,START_ के टमले तिमीलाई सोध्यो? _END
"good night, dad.","START_ शुभ रात्रि, बुबा। _END"
"good night, tom.","START_ शुभ रात्रि, टम। _END"
he bought a hat.,START_ उसले टोपी किन्यो। _END
he is unmarried.,START_ उनी अविवाहित छन् । _END
he is unmarried.,START_ उहाँ अविवाहित हुनुहुन्छ । _END
he is unmarried.,START_ ऊ अविवाहित छ। _END
how old are you?,START_ तपाई कति बर्सको हुनु भयो ? _END
i am a japanese.,START_ म जापानी हुँ। _END
i decided to go.,START_ मैले जाने निर्णय गरें। _END
i eat chocolate.,START_ म चकलेट खान्छु। _END
i live in japan.,START_ म जापानमा बस्छु। _END
i live in tokyo.,START_ म टोकियोमा बस्छु। _END
i want a friend.,START_ मलाई एउटा साथी चाहियो। _END
i was listening.,START_ म सुनिरहेको थिएँ। _END
i was suspended.,START_ मलाई निलम्बन गरिएको थियो । _END
i went for help.,START_ म मद्दतको लागि गएँ। _END
i went shopping.,START_ म किनमेल गर्न गए। _END
i went upstairs.,START_ म माथितिर गएँ। _END
i will continue.,START_ म जारी राख्छु। _END
i will stop tom.,START_ म टमलाई रोक्नेछु। _END
im the skipper.,START_ म कप्तान हुँ। _END
im very hungry.,START_ मलाई धेरै भोक लागेको छ। _END
is tom sleeping?,START_ के टम सुतिरहेको छ? _END
its not broken.,START_ यो तोडिएको छैन। _END
its not broken.,START_ यो फुटेको छैन। _END
its not enough.,START_ यो पर्याप्त छैन। _END
merry christmas!,START_ क्रिसमसको शुभकामना! _END
my laptop broke.,START_ मेरो ल्यापटप फुट्यो। _END
please fix this.,START_ कृपया यसलाई ठीक गर्नुहोस्। _END
tom abused mary.,START_ टमले मेरीलाई दुर्व्यवहार गरे। _END
tom became rich.,START_ टम धनी भयो। _END
tom cant go in.,START_ टम भित्र जान सक्दैन। _END
tom is friendly.,START_ टम मिलनसार छ। _END
tom is my rival.,START_ टम मेरो प्रतिद्वन्द्वी हो। _END
tom is speaking.,START_ टम बोल्दै छ। _END
tom is talented.,START_ टम प्रतिभाशाली छ। _END
tom lived alone.,START_ टम एक्लै बस्थे। _END
tom looked lost.,START_ टम हराएको देखिन्थ्यो। _END
tom loves ramen.,START_ टमलाई रामेन मनपर्छ। _END
tom passed away.,START_ टमको मृत्यु भयो। _END
tom was a drunk.,START_ टम एक मातेको थियो। _END
tom was elderly.,START_ टम वृद्ध थिए। _END
tom will accept.,START_ टमले स्वीकार गर्नेछ। _END
we are brothers.,START_ हामी दाजुभाइ हौं। _END
we are students.,START_ हामी विद्यार्थी हौँ । _END
we are teachers.,START_ हामी शिक्षक हौं। _END
we need capital.,START_ हामीलाई पुँजी चाहिन्छ । _END
well stay here.,START_ हामी यहाँ बस्नेछौ। _END
where can i eat?,START_ म कहाँ खान सक्छु? _END
where did he go?,START_ ऊ कहाँ गयो? _END
where did he go?,START_ उनी कहाँ गए? _END
who are you all?,START_ को हौ तिमीहरु सबै? _END
who are you all?,START_ तिमीहरु सबै को हौ? _END
who did tom ask?,START_ टमले कसलाई सोध्यो? _END
who is this tom?,START_ यो टम को हो? _END
answer the phone.,START_ फोन उठाउनुहोस्। _END
are you a banker?,START_ तपाईं बैंकर हुनुहुन्छ? _END
are you a couple?,START_ के तपाईहरू जोडी हुनुहुन्छ? _END
are you a townie?,START_ के तपाई शहरवासी हुनुहुन्छ? _END
are you stopping?,START_ के तपाइँ रोकिदै हुनुहुन्छ? _END
can i dance here?,START_ के म यहाँ नाच्न सक्छु? _END
dont talk to me.,START_ मसँग कुरा नगर। _END
drink more water.,START_ धेरै पानी पिउनुहोस्। _END
he is delightful.,START_ उहाँ रमाईलो हुनुहुन्छ। _END
he is overweight.,START_ उनको तौल बढी छ । _END
he is overweight.,START_ उसको तौल बढी छ । _END
he is unsociable.,START_ ऊ मिलनसार छैन । _END
he was born dumb.,START_ उनी मुर्ख जन्मेका थिए । _END
he was born rich.,START_ उनी जन्मिदा खेरि नै धनि हुन्। _END
hes not serious.,START_ उनी गम्भीर छैनन्। _END
i am a foreigner.,START_ म एक विदेशी हुँ। _END
i am a professor.,START_ म प्राध्यापक हुँ। _END
i am eating rice.,START_ म भात खाँदै छु । _END
i am from brazil.,START_ म ब्राजिलबाट हुँ। _END
i am truly sorry.,START_ मलाई माफ गर्नुहोस्। _END
i cant beat tom.,START_ म टमलाई हराउन सक्दिन। _END
i cant beat tom.,START_ म टमलाई जित्न सक्दिन। _END
i cant eat rice.,START_ म भात खान सक्दिन। _END
i dont eat beef.,START_ म गाईको मासु खाँदिन। _END
i dont eat beef.,START_ म गाईको मासु खान्न। _END
i dont eat rice.,START_ म भात खान्न। _END
i dont know her.,START_ म तिनलाई चिन्दिन। _END
i drink a little.,START_ म अलिकति पिउँछु । _END
"i drink tea, too.",START_ म पनि चिया पिउँछु । _END
i drink to relax.,START_ म आराम गर्न पिउँछु। _END
i eat everything.,START_ म सबै खान्छु। _END
i eat vegetables.,START_ म तरकारी खान्छु। _END
i have to go out.,START_ म बाहिर जानु पर्छ। _END
i hear something.,START_ म केहि सुन्छु। _END
i like pop music.,START_ मलाई पप गीत मन पर्छ। _END
i live near here.,START_ म यहाँ नजिकै बस्छु। _END
i love egg yolks.,START_ मलाई अण्डाको पहेलो भाग मन पर्छ। _END
i miss you a lot.,START_ मलाई तिम्रो धेरै याद आइरहेको छ। _END
i miss you badly.,START_ मलाई तिम्रो धेरै याद आइरहेको छ। _END
i saw tom crying.,START_ मैले टम रोइरहेको देखें। _END
i was born there.,START_ म त्यहीँ जन्मिएँ । _END
i was very upset.,START_ म निकै उदास थिएँ । _END
i wasnt careful.,START_ म सचेत थिइनँ। _END
i will translate.,START_ म अनुवाद गर्छु। _END
im ok with that.,START_ म त्यो संग ठीक छु। _END
im middle class.,START_ म मध्यमवर्गीय हुँ। _END
im not creative.,START_ म रचनात्मक छुइन। _END
im not on drugs.,START_ म लागुऔषध मा छैन। _END
im not so brave.,START_ म त्यति बहादुर छैन। _END
im not sure yet.,START_ म अझै पक्का छैन। _END
im off tomorrow.,START_ म भोलि बिदामा छु। _END
im on your side.,START_ म तिमीलाई समर्थन गर्छु। _END
im out of ideas.,START_ म बिचारबाट बाहिर छु। _END
im out of shape.,START_ मेरो आकार छैन। _END
im out of sugar.,START_ मेरो चिनी सकिएको छ। _END
im the youngest.,START_ म सबैभन्दा कान्छो हुँ। _END
im the youngest.,START_ म सबैभन्दा कान्छी हुँ। _END
ive been stupid.,START_ म मुर्ख भएको छु। _END
"is tom here, too?",START_ के टम पनि यहाँ छ? _END
nice to meet you.,START_ तपाईँलाई भेटेर खुशी लाग्यो। _END
people are dying.,START_ मानिसहरु मरिरहेका छन् । _END
people are dying.,START_ मान्छे मरिरहेका छन् । _END
respect yourself.,START_ आफैलाई सम्मान गर्नुहोस्। _END
she is beautiful.,START_ उनी सुन्दर छिन्। _END
she loves coffee.,START_ उनलाई कफी मन पर्छ। _END
stay for a while.,START_ केही बेर बस्नुहोस्। _END
stop annoying me.,START_ मलाई कष्ट दिन बन्द गर्नुहोस्। _END
the sea was calm.,START_ समुद्र शान्त थियो। _END
the work is done.,START_ काम सकियो। _END
theres a plan b.,START_ त्यहाँ योजना बी छ। _END
they like french.,START_ तिनीहरू फ्रान्सेली मन पराउँछन्। _END
this tv is heavy.,START_ यो टिभी भारी छ। _END
this is our team.,START_ यो हाम्रो टोली हो। _END
tom bought a gun.,START_ टमले बन्दुक किन्यो। _END
tom felt amazing.,START_ टमलाई अचम्म लाग्यो। _END
tom is in heaven.,START_ टम स्वर्गमा छ। _END
tom is obnoxious.,START_ टम अपमानजनक छ। _END
tom is so strong.,START_ टम एकदमै बलियो छ। _END
tom laughs a lot.,START_ टम धेरै हाँस्छन्। _END
tom will be over.,START_ टम समाप्त हुनेछ। _END
tom wouldnt cry.,START_ टम रुने थिएन। _END
use a calculator.,START_ क्याल्कुलेटर प्रयोग गर्नुहोस्। _END
we just got here.,START_ हामी भर्खरै यहाँ आइ पुग्यौं। _END
what did tom add?,START_ टमले के थप्यो? _END
what did tom ask?,START_ टमले के सोधे? _END
what did tom use?,START_ टमले के प्रयोग गरेको थियो? _END
what did you say?,START_ तपाईले के भन्नु भयो ? _END
which is correct?,START_ कुन सहि हो? _END
who cares anyway?,START_ जे भए पनि कसले वास्ता गर्छ? _END
you sound bitter.,START_ तिमी तितो सुनिन्छौ। _END
are they japanese?,START_ के ती मानिसहरू जापानी हुन्? _END
did you draw that?,START_ के तपाईंले त्यो चित्र बनाउनुभएको हो ? _END
do you have a car?,START_ के तपाईसँग कार छ? _END
do you have plans?,START_ के तपाईंसँग योजनाहरू छन्? _END
he called my name.,START_ उसले मेरो नाम बोलायो। _END
he is influential.,START_ उहाँ प्रभावशाली हुनुहुन्छ। _END
his eyes are blue.,START_ उसका आँखा नीलो छन्। _END
how was your trip?,START_ तपाइँको यात्रा कस्तो रह्यो? _END
i am years old.,START_ म वर्षको भएँ। _END
i am years old.,START_ म वर्षको हुँ । _END
i am a translator.,START_ म एक अनुवादक हुँ। _END
i danced with tom.,START_ मैले टमसँग नाचें। _END
i decided to stay.,START_ मैले बस्ने निर्णय गरें। _END
i decided to wait.,START_ मैले पर्खने निर्णय गरें। _END
i didnt eat rice.,START_ मैले भात खाइनँ । _END
i didnt get paid.,START_ मैले तलब पाएको छैन। _END
i dont want them.,START_ म तिनीहरूलाई चाहन्न। _END
i drink to forget.,START_ म बिर्सनका लागि पिउँछु । _END
i enjoy what i do.,START_ म जे गर्छु त्यसमा रमाउछु। _END
i have a headache.,START_ मेरो टाउको दुखेको छ। _END
i have no friends.,START_ मेरा कोही साथी छैनन्। _END
i havent decided.,START_ मैले निर्णय गरेको छैन। _END
i know tom is mad.,START_ मलाई थाहा छ टम पागल छ। _END
i like sandwiches.,START_ मलाई स्यान्डविच मन पर्छ। _END
i live in comfort.,START_ म आराममा बस्छु । _END
i love this store.,START_ मलाई यो स्टोर मन पर्छ। _END
i read everything.,START_ म सबै पढ्छु। _END
i read everything.,START_ मैले सबै पढे। _END
i said good night.,START_ मैले शुभ रात्रि भने । _END
i want a daiquiri.,START_ म एक डाईक्वरी चाहन्छु। _END
i was hurt by tom.,START_ टमले मलाई चोट पुर्यायो। _END
i went downstairs.,START_ म तलतिर गएँ। _END
i will do my best.,START_ म सक्दो प्रयास गर्नेछु। _END
im a bit worried.,START_ म अलि चिन्तित छु। _END
im a taxi driver.,START_ म ट्याक्सी चालक हुँ। _END
im having a baby.,START_ म बच्चा जन्माउँदै छु। _END
im really hungry.,START_ मलाई धेरै भोक लागेको छ। _END
is that person ok?,START_ के त्यो मान्छे ठीक छ? _END
it could be risky.,START_ यो जोखिमपूर्ण हुन सक्छ। _END
it was a hard day.,START_ त्यो एक कठिन दिन थियो। _END
its a risky plan.,START_ यो एक जोखिमपूर्ण योजना हो। _END
its not that far.,START_ यो त्यति टाढा छैन। _END
lets eat dessert.,"START_ मिठाई, खाऔं। _END"
lets take a look.,START_ एक पटक हेरौं। _END
please come again.,START_ कृपया फेरि आउनुहोस्। _END
please come again.,START_ कृपया फेरि आउनुहोला। _END
please correct it.,START_ कृपया यसलाई सच्याउनुहोस्। _END
please keep quiet.,START_ कृपया शान्त रहनु होला। _END
please stop lying.,START_ कृपया झूट बोल्न बन्द गर्नुहोस्। _END
she is aggressive.,START_ उनी आक्रामक छिन्। _END
she is attractive.,START_ उनी आकर्षक छिन्। _END
take one of these.,START_ यी मध्ये एक लिनुहोस्। _END
tell me about tom.,START_ मलाई टमको बारेमा बताउनुहोस्। _END
tell them to stop.,START_ तिनीहरूलाई रोक्न भन्नुहोस्। _END
thank you so much.,START_ धेरै धेरै धन्यवाद। _END
thats a big deal.,START_ त्यो ठूलो कुरा हो। _END
the bus just left.,START_ बस भर्खरै छुट्यो। _END
this hat is yours.,START_ यो टोपी तिम्रो हो। _END
this is my choice.,START_ यो मेरो रोजाई हो। _END
tom became cranky.,START_ टम पागल भयो। _END
tom bought a coat.,START_ टमले कोट किने। _END
tom bought a coat.,START_ टमले कोट किन्यो। _END
tom cant come in.,START_ टम भित्र आउन सक्दैन। _END
tom disliked mary.,START_ टम मेरीलाई घृणा गर्थ्यो। _END
tom disliked mary.,START_ टम मेरीलाई मन परौउँदैन थियो। _END
tom isnt certain.,START_ टम निश्चित छैन। _END
tom lit the stove.,START_ टमले चुलो बाल्यो। _END
tom lit the stove.,START_ टमले चुलोमा आगो बाल्यो। _END
tom scored a goal.,START_ टमले गोल गरे ! _END
tom used to smoke.,START_ टम धुम्रपान गर्थे। _END
tom was in heaven.,START_ टम स्वर्गमा थियो। _END
tom was very cold.,START_ टम धेरै चिसो थियो। _END
"two beers, please.","START_ कृपया, दुईवटा बियर। _END"
we are classmates.,START_ हामी सहपाठी हौं। _END
we waited outside.,START_ हामी बाहिर पर्ख्यौं। _END
were you truthful?,START_ के तपाई सत्यवादी हुनुहुन्थ्यो? _END
what is your name?,START_ तिम्रो नाम के हो? _END
when was she born?,START_ उनी कहिले जन्मिइन् ? _END
where was he born?,START_ उ कहाँ जन्मेको थियो? _END
who is tom anyway?,START_ जे भए पनि टम को हो? _END
who is tom really?,START_ टम साँच्चै को हो? _END
who is tom to you?,START_ तपाईको लागि टम को हो? _END
whos at the door?,START_ ढोकामा को छ? _END
you have no proof.,START_ तपाईंसँग कुनै प्रमाण छैन। _END
you have no proof.,START_ तिमिसँग कुनै प्रमाण छैन। _END
you look very sad.,START_ तिमी धेरै दुःखी देखिन्छौ। _END
you look very sad.,START_ तिमी धेरै उदास देखिन्छौ। _END
you need to sleep.,START_ तपाईंले सुत्नु पर्छ। _END
a lot of fish died.,START_ धेरै माछा मरे। _END
are you colleagues?,START_ के तपाई सहकर्मी हुनुहुन्छ? _END
bananas are yellow.,START_ केरा पहेंलो हुन्छ। _END
can we do it again?,START_ के हामी यसलाई फेरि गर्न सक्छौं? _END
happy fathers day!,START_ बुबाको दिनको शुभकामना! _END
happy fathers day!,START_ बुवा दिवसको शुभकामना। _END
he enjoyed cycling.,START_ उसलाई साइकल चलाउन रमाइलो लग्यो। _END
