text,Sentiment
@patcondell I originally backed Trump as a joke to try and force change in the GOP. Glad I got that and more.,1
RT @moorehn: I said this on KCRW on Friday. There is no regulation preventing banks from lending. If Trumps friends having tr https://t.co/hMYys0tkWD,1
"RT @Bipartisanism: Trump Administration Strips Animal Rights Safeguards, Pets Now At Risk https://t.co/vASh7ad4x7 https://t.co/SB2c2RUqbJ",0
China's secret Trump card: Could Beijing deprive our military of critical defense components? https://t.co/J2qnoltXgo,0
Fascinating take. Agree that it could free up CNN to cover Trump presidency much more effectively. https://t.co/uDdS4Gs8VP,1
@Sparker3x9 I think you mean HE wouldn't concede. He was a sore lose. So much like Trump. @GlzgowlassLaing @michpoligal @Free2sayit,0
"RT @KevinRothrock: ""But Putin is a killer."" ""And have you even seen how big the U.S. national debt is??"" @oldLentach nails Trump's pen https://t.co/Iia2OwYR1F",0
"barbershop convo: 1:i survive Freundel and Chris, wtf Trump could do me? 2:big man youz a idiot? 1:i see wus ppl dan Trump hay evry day hay",0
RT @ScottErnst0331: Her team did not make the #Superbowl and her candidate did not win the election.  #Trump #MAGA #GOP https://t.co/5piNrudFqW,1
"RT @wakeup1442: IMPEACH UNCONSTITUTIONAL ACTIVIST JUDGE, Trump ""travel ban"" totally legal, totally necessary for our country https://t.co/iUcmWMjSh8",0
RT @LouDobbs: Most Left-Wing Appeals Court in Nation Denies Trump Request to Reinstate Travel Ban https://t.co/hHnr6ZsWoF #MAGA #TrumpTrain #AmericaFirst,0
@STLiam22 People Are RSVPing To Trumps Inauguration In a Hilarious Way https://t.co/1tNw6ouKJ5,1
@RightWingAngel @USATODAY Federal judge Vs. Trump travel ban https://t.co/RQpnpbOiTn,0
"RT @IMPL0RABLE: #TheResistance #ImpeachTrump



Texas Rep Joaquin Castro charges forward with talk of impeaching Trump https://t.co/0gRVkwdKeW via @dallasnews",1
"RT @Radiocop: President Trump did not create all this hate with the Libs, he exposed it.

They have always been an angry mob of people.",0
"@CraigRozniecki If Trump doesn't go into cardiac arrest or stroke out in the next four years, maybe he is the healthiest president.",0
RT @wallrad: #trumptrain HERE IT COMES! Trump Just Sent His STRIKE FORCE to Chicago - https://t.co/Yg9lu3Lg6i,0
RT @ditzkoff: If only we'd had some warning during the campaign that Trump wouldn't respect an independent judiciary. https://t.co/dxo0vHK4LC,0
RT @souamesfarah: Gotta be today's best cartoon #Trump #travelban #Democracy #Constitution https://t.co/uQuRfJ1ORb,1
"A Small Business Owner On Trump's Plans For Small Businesses: Copyright 2017 NPR. To see more, visit https://t.co/9oMtutM6ve",1
"RT @SusanClendaniel: What #trump said to OReilly, it bothers me, he sent our troops in w/o full intelligence &amp; not one word of sorrow or https://t.co/beFxfz7sUv",0
"San Diego trends now: Trump, LaDainian Tomlinson, Hall of Fame, Super Bowl, Pro Football Hall of Fame. https://t.co/H1ZzAnADJt",1
RT @TomthunkitsMind: Trump's Tangled Web. https://t.co/tPx8dtdwvy,0
What President Trumps Executive Order on Immigration and Refugees Does and Does Not Do https://t.co/Of68RXI0qp,0
RT @washingtonpost: Opinions: Trumps half-baked travel ban is a picture of American shame https://t.co/y0hqrzBfLS,0
RT @thehill: Appeals court rejects Trump request to restore immigration ban https://t.co/MZcqrosQTU https://t.co/062UgE8ISJ,0
"The Evangelical Response To Trump: Copyright 2017 NPR. To see more, visit https://t.co/EZukFA4iae. https://t.co/glVwvAm7hM",1
"RT @MartheReed1: ""Low energy"" @realDonaldTrump aides explain hotheaded call w Australian PM saying he was fatigued at 5:00pm: wher https://t.co/ywWtQDtNud",0
Appeals court denies immediate reinstatement of Trump travel ban https://t.co/wWTSpAC7Gj,0
Trump travel ban: Mike Pence defends president,0
RT @KeithOlbermann: The Deputy Editorial Page editor of The Wall Street Journal and I agree on the only word that fits @realDonaldTrump https://t.co/F7Z3LA6Om7,1
"RT @MMFlint: Thank you, So-Called President Trump! I've been struggling for 2 weeks over what to call you, and your tweet here g https://t.co/ZLpZLlnHV8",0
"RT @sfpelosi: #SundayMorning: 9th Circuit is following the #RuleofLaw and refusing to automatically reinstate Trump's immoral,  u https://t.co/VxMa6f074l",0
RT @USATODAY: #BREAKING 9th Circuit Court of Appeals denies Trump request to immediately restore travel ban https://t.co/inTvFpSEDM,0
RT @nycjayjay: The 9th Cir declined to immediately reinstate Trump's immigration ban. Bam! It has asked instead for plaintiffs to respond to the appeal.,0
RT @thedailybeast: Melissa McCarthy as Trump's press secretary Sean Spicer is a sight to behold: https://t.co/8NRzLeCcNi https://t.co/qrMx98EIuR,0
RT @kmflett: Trump protest 4th February: one of the great London demonstrations https://t.co/vebGNAI7lD https://t.co/cQMhB9dHGO,0
RT @BBCBreaking: US appeals court rejects Trump administration request to immediately reinstate travel ban https://t.co/nDvCfpmAFK,0
Pre. Trump is using controlled chaos to keep his rivals off balance.  This is not campaign time but governing time. Won't work!,0
"RT @Yair_Rosenberg: Trump keeps bringing out America's greatness, just not in the way he intends https://t.co/6aDtnfqk6x",1
US appeals court denies request to restore Trumps immigration ban https://t.co/DcL7N8ooH8 https://t.co/90u65aLuWv,0
RT @scarylawyerguy: Former COO of Goldman standing over Trump's left shoulder as he signed EO weakening Dodd-Frank is about as big a fu https://t.co/HeETmj0F06,0
"RT @JournalNEO: #Poroshenko Tries to Force #Trumps Hand in #Ukraine...

https://t.co/AN099WEizG https://t.co/8ElS1GFmEL",0
Trump travel ban: Mike Pence defends president https://t.co/lycbbzsYt3,0
RT @Toure: Trump thinks weve got a lot of killers. The homicide rate is near a century low but the Prez still sees us as a nation of killers. Ok.,0
RT @scarylawyerguy: Former COO of Goldman standing over Trump's left shoulder as he signed EO weakening Dodd-Frank is about as big a fu https://t.co/HeETmj0F06,0
"RT @America_1st_: Nigel Farage: ""All President Trump has done is what he promised he would do in the campaign."" https://t.co/XqA2uf51CL",1
RT @AGOWA: Trump Administration's request for immediate administrative stay DENIED. https://t.co/R3tTRPyv3U,0
How Donald Trump Can Save Africa https://t.co/bInDWUH6aV via @wordpressdotcom,1
"RT @BillMoyersHQ: In Step 3 of his #Trump Resistance Plan, @StevenJHarper1 advises us to keep making noise about Trump &amp; Russia https://t.co/X1rv2EjB8F",0
"Trump supporters got played, will pay thru 401k's, foreclosures, predatory lending, higher gas prices, sale of public lands &amp; kids in war. https://t.co/kfvs9s4fgt",0
RT @djrothkopf: Worth observing that Trump has never been as loyal to either his business associates or his wives as he is to Putin https://t.co/d86xPf0fMZ,1
"Manchester trends now: Manchester, Trump, Nolan, Ed Sheeran, Coleen Nolan. https://t.co/w42rltDRqo",0
RT @nrbest: ICE Agent Reports Morale Has Skyrocketed Under Trump https://t.co/jzpGq2sfM8 via @realDennisLynch @realdonaldtrump,1
What do the Mercers--the billionaire family that backed Trump--really want? https://t.co/jBQMhOHO1g,1
Houston expecting anti-Trump protests on Super Bowl Sunday  https://t.co/fjZHapKuMT https://t.co/SkTbV7wbHf,1
"RT @DLin71: OBAMA: America is imperfect

GOP: TREASON



TRUMP: America is like a murderous thug

GOP: Shield your eyes in the presence of this patriot",0
RT @starfirst: Via @NPR: Ethics Lawyers Call Trump's Business Conflicts 'Nakedly Unconstitutional' https://t.co/72wMFq4Iic,0
Tomi Lahren sounds off on Trump backlash on liberal campuses https://t.co/ce5ALUNceJ,0
RT @justinhendrix: Want to get rid of Bannon? Emphasize over and over again that Trump is his puppet. Then let Trump's narcissism do the rest.,0
"RT @RealGeoffBarton: ""The press takes Trump literally but not seriously; his supporters take him seriously but not literally @fotoole: https://t.co/oEzdpQZuBs",0
"RT @TEN_GOP: Nordstrom panders to the Left, drops Ivanka Trump clothing and accessories line. Huge mistake. https://t.co/F51mujeGFI",0
"RT @macdriz6: @SyriaNetwork So What ,,,,Trump sanctioned Iran for being Muslim and for paying for the wall Mexico border ,,Trump extorts",0
De Trump a Vistalegre https://t.co/Ga38IQ8os1 https://t.co/YkWC3OgkxV,0
"RT @flagrantdolphin: ""In Venezuela, we couldn't stop Chavez; don't make the same mistake with Trump"" croaks Washington Post, being RTed EN MASSE by liberals",0
"RT @chrisgeidner: BREAKING: APPEALS COURT DENIES REQUEST FOR IMMEDIATE STAY OF TRO, Trump travel ban will stay on hold for now. https://t.co/PFpAKFxRfP",0
RT @The_Trump_Train: WATCH: Leftist rioters attack Trump supporters. Democratic Party and UC Berkeley staff allowing this to happen. LAW https://t.co/URNG80NPDU,0
"RT @TheMarkRomano: Thanks, George W. Bush:



Your judges have upheld Obamacare and halted President Trump's travel ban.



I wonder how t https://t.co/MrEgVJLiwx",1
"RT @reneeygraham: Ever get the sinking feeling that for every Trump administration lie, theres 5 devastating truths abt their actions well never know?",0
Utah Representative Wants Bears Ears Gone And He Wants Trump To Do It: Republicans want to eliminate one of the https://t.co/UQfMKaVVPc,0
RT @erichmcelroy: @realDonaldTrump Rule #1 of Trump world: If having bad day repeat meaningless slogan.,0
"RT @markmobility: Monthly cost of:

Guarding Trump Tower: $30 million

Section 8 for all 15,856 homeless NYC families: $28 million",0
"Donald Trump, a so-called president",0
RT @justinhendrix: Want to get rid of Bannon? Emphasize over and over again that Trump is his puppet. Then let Trump's narcissism do the rest.,0
"RT @AJemaineClement: Hitler - failed painter

Trump - cancelled tv host

Bannon - failed documentary maker

Conway - failed stand-up



Support the arts and media",0
"RT @greenhousenyt: Great SNL opening last night, showing that Steve Bannon, not Trump, is calling the shots &amp; is the real president. https://t.co/5yKN3z6KsW",1
RT @PoliticalHedge: President Donald Trump could withhold nearly $27 billion from sanctuary cities https://t.co/OdsaDPHwTQ,1
"RT @AlecMacGillis: Less than a year after @snowden declared election a choice btwn Trump &amp; Goldman, here's Trump undoing financial reg https://t.co/KMmrDAxELv",1
"RT @AlfGarnettTil: It's not so much a march against Trump now.

More like a weekly mental illness convention. https://t.co/EpHf642p3V",1
Kirsten Gillibrand and the Anti-Trump Left: 2020 Foresight? https://t.co/5ubmnsibHS,0
Trump's deregulation nation; Silicon Valley tackles immigration ban; Macy's buzz https://t.co/r2H7hUZq3b,0
"RT @jlsinc: You could genuinely change ""Trump"" to ""Brexiteer"" in every single instance here. https://t.co/nHevNPcph9",1
"RT @1alexcam: THIS DESERVES ENDLESS RTs:

#MelissaMcCarthy as #SeanSpicer on #saturdaynightlive is EPIC?

https://t.co/nYVrATZ3i9

#SNL #Trump #DonaldTrump",1
"RT @AlfGarnettTil: It's not so much a march against Trump now.

More like a weekly mental illness convention. https://t.co/EpHf642p3V",1
RT @TheDemCoalition: The anti-Trump boycott of retailers won't back down here's how it could affect sales https://t.co/ZjI2xvSDU5 via @leannagarfield #Resist,0
"Love me some SNL!

'S.N.L. Goes After Trump Again, With Melissa McCarthy as Sean Spicer, via @nytimes https://t.co/J9DlZMyfxR",1
"@bbchw If green is the colour of success, what does that say about Donald Trump? #chlorophyllrules",1
RT @ActualEPAFacts: Trust Records Show Trump Is Still Closely Tied to His Empire https://t.co/pHQR8aGR3h,1
"RT @TheMarkRomano: See how the courts work...



When Obama issues a travel ban, it is perfectly fine.



When Trump does the exact same thing, it is illegal.",0
Iran Carries Out New Missile Tests After Trump Imposes Sanctions https://t.co/4nco9yYBKv,0
"RT @AJemaineClement: Hitler - failed painter

Trump - cancelled tv host

Bannon - failed documentary maker

Conway - failed stand-up



Support the arts and media",0
"CIA says Russians have ""more than 1 tape"" ""audio and video"" on ""more than 1 date"", in ""more than 1 place"" of Trump. https://t.co/oxFlYFLcdn https://t.co/7PvJT5LBuq",0
"Trump: I love war.



Intercept Bros: Trump is a non-interventionist, HRC is a war hawk.",1
"RT @ChristiChat: Best vote I ever cast!

<U+2764> Trump



WATCH what @POTUS did in week two of his presidency to #MAGA

#AmericaFirst



https://t.co/4bzM3s8Tej",1
"RT @ddale8: Obscure websites published a fake story that Kuwait was copying Trump's ban. The president Facebooked it, got 67,00 https://t.co/JXXgrVQAOL",0
RT @UjamiiSingh: Appeals Court that denied DOJ's appeal on Trump's EO was 2/3 liberal who are now acting as activists instead of jud https://t.co/tYJX96IVlJ,0
"Early Signs Suggest Trumps Actions Are Taking a Toll on Trump Brand https://t.co/a14rjBH4ru

JUNK CLOTHING BOYCOTT",0
Travel ban: US temporarily suspends order as #Trump derides judge https://t.co/sJXUb0geoI,0
RT @artoopio: KRISTEN MOCKED DONALD TRUMP AND CAME OUT AS GAY IN SNL MONOLOGUE WHEN WILL YOUR FAVE https://t.co/1lj07smIld,0
RT @MikeMtk63: How #Trump Filled The #Swamp https://t.co/26H6bJPO8L via @YouTube @corbettreport https://t.co/9HpVF3QJF1,0
RT @StephensWSJ: Trump puts US on moral par with Putin's Russia. Never in history has a President slandered his country like this.  https://t.co/LrP8ycG1Y9,1
RT @ranman09: #NotMyPresident Trump is one of the most disliked political leaders in the entire world. Thousands March In London: https://t.co/5tgXx6Zl9K,0
RT @holgi: Drunk Donald Trump https://t.co/PSS2U7Kmgp,0
RT @DabAggin: Shoutout to all the Trump fans who are never sure when it's *you're* vs. *your* but who are now suddenly constitutional law scholars.,1
RT @haaretzcom: The 'so-called judge' who stymied Trump's ban: Tough conservative who fostered 6 at-risk kids https://t.co/CALh8pf85e,0
"RT @funder: .Exhibit 5:Gorbachev asks Trump to build Russian hotel '87



#DworkinReport #resistance #TrumpRussia #resist https://t.co/my1lRqFp6d",0
"The #Day that Trump took #Office was a Day of #Magic. It magically once again-according 2 the Rightwing, un-#American to oppose a #President https://t.co/vPvnx5dgI8",0
"RT @TeaPainUSA: Killers?  Trump has now attacked the integrity of America to defend Vladimir Putin. Brothers and sisters, this aggression will not stand!",0
"RT @gidget2114: @Lrihendry @NFL But for fans there, yell, ""Trump, Trump, Trump!!!"" The NFL deserves that.",1
"RT @ddale8: Obscure websites published a fake story that Kuwait was copying Trump's ban. The president Facebooked it, got 67,00 https://t.co/JXXgrVQAOL",0
@POTUS @realDonaldTrump Wait no longer. We know who the antichrist is: Donald Trump. America is bad and Trump has come to make you pay.,0
RT @nycjayjay: The 9th Cir declined to immediately reinstate Trump's immigration ban. Bam! It has asked instead for plaintiffs to respond to the appeal.,0
"<U+2600><U+FE0F>

#RAPLOUNGE on #Afternooncruise w/@en_gabriel



#WRAPUP: 'Eminem call Donald Trump a B****'

#Thepowerfrequency #Loud

??",0
RT @ErickFernandez: I look forward to the Donald Trump tweet about this. #SNL https://t.co/xIMuxKMrxV,1
Utah Representative Wants Bears Ears Gone And He Wants Trump To Do It: Republicans want to eliminate one of the https://t.co/mPQadRWy5e,0
RT @tribelaw: 2/ business with Trump but sent the 9/11 terrorists here,0
Court denies Trump request to immediately restore travel ban via @CTVNews https://t.co/L9D5t2PrET,0
"RT @AlfGarnettTil: It's not so much a march against Trump now.

More like a weekly mental illness convention. https://t.co/EpHf642p3V",1
RT @Derigitable: MILO on Judge Jeanine: Donald Trump Should Withdraw Funding from Berkeley - Breitbart https://t.co/9zwNfuG7vB,0
"@FoxNews No ban? No wall? No Trump? OK. Then, no crying for justice when a terrorist blows up or cuts your brain-dead head off, you morons!",0
"RT @hrkbenowen: Obama banned Iraqi's from coming to the US in 2011 for 6 months and judges stayed quiet. But with Trump, it's a who https://t.co/SpIkspWJhF",0
"RT @mindyfinn: What line in the sand must Trump cross for freedom-loving conservatives to confront his authoritarianism? Silence, the quiet enabler, kills.",0
RT @AP: BREAKING: Appeals court denies Trump administration request to immediately reinstate ban on travelers and refugees.,0
RT @thehill: Trump's face found on 5K packs of Heroin during drug bust https://t.co/HyK3anm7pc https://t.co/YEYCnsG7Jr,0
RT @LatinSatin: White House reveals Trump was not in the Situation Room during his first military raid https://t.co/2WiGe1aSnN via @shareblue,1
RT @kurteichenwald: News! Clinton used half-hearted review of sloppy Intel that led to Benghazi deaths. Wait...that was trump and SEAL deaths. So no hearings.,0
RT @Brinkbaeumer: This week's editorial. #Trump: A Dangerous President https://t.co/qQrWnOFVmk @SPIEGELONLINE @DerSPIEGEL @SPIEGEL_English,0
"RT @MichaelSkolnik: Trump is rattled.

Bannon is shut down.

Spicer can't make up his mind.

Conway is making up fake massacres.



The resistance is working!",0
"RT @Kasparov63: Disgusting. There is nothing Trump won't do to praise Putin, comparing the US to a dictator of 17 years who murders https://t.co/pCBJolVqPz",0
"RT @AltStateDpt: If Melania Trump stays at Trump Tower through a 4yr term, it will cost taxpayers approx. $1.4B. Is this what populist Trump voters wanted?",0
RT @Langfire: @nntaleb That's why the whole 'chaos' narrative fails. Trump thrives in that environment relative to the weak left that craves certainty.,0
"RT @Impeach_D_Trump: RT if you think Trump should be impeached.



LIKE if you think Trump should be impeached.",1
RT @mitchellvii: It looks as if Trump's Presidency is wearing on ole Jake Tapper... https://t.co/SoIDkbRZ0z,0
"RT @luisbotello41: my dad's friend owns a restaurant and he got this today in one of the receipts.

This is Trump's America, disgustin https://t.co/Mi2wRgVuMh",1
"RT @Yair_Rosenberg: Trump keeps bringing out America's greatness, just not in the way he intends https://t.co/6aDtnfqk6x",1
"RT @DLin71: OBAMA: America is imperfect

GOP: TREASON



TRUMP: America is like a murderous thug

GOP: Shield your eyes in the presence of this patriot",0
RT @nytimes: New documents on Trump's trust show just how little distance he has put between himself and his businesses https://t.co/HuxF2aScw4,1
RT @Impeach_D_Trump: Please Follow us on FACEBOOK for all the latest on our Illegitimate President Trump -  https://t.co/sjFtlwYstt,1
RT @KingBach: When you find out your friend voted Trump... #NotMyPresident #PresidentTrump https://t.co/OWO2tLw4qp,1
RT @openculture: Trump is targeting up to 8 million people for deportation. Headline in the LA Times. Get ready for a big fight. https://t.co/SKFTkjbliC,1
RT @guardian: Donald Trump repeats his respect for 'killer' Putin: 'Do you think our country's so innocent?' https://t.co/NXcoPF3daM,1
RT @EricBoehlert: $.5B so Melania never has to move in w/ Trump.....that cover salaries of 10k+ school teachers,0
Utah Representative Wants Bears Ears Gone And He Wants Trump To Do It https://t.co/Fu89ODFq5G,0
RT @Jeni_Rachelle: Twitter Censoring Trump Supporters by @mikekeen https://t.co/0zMvSmLss8,0
'The federal appeals court in San Francisco denied Trump's effort to immediately reinstate the ban early Sunday.' https://t.co/exu2DKWiOw,0
US appeals court denies request to restore Trumps immigration ban https://t.co/RaxV0MCHIe https://t.co/os0V2Cm9sU,0
RT @palinfoen: Trump Will Ignite a Powder Keg in the Middle East Via PIC @PalinfoEn https://t.co/WwnKPgRTCT,0
RT @FoxNews: Experts: Social media giants fight Trumps anti-terror plan while providing platform for terrorists https://t.co/skMzy0FcC9,1
"President Trump in an interview to air Sunday said he respects Vladimir Putin, and when challenged that the Russian president is ""a killer""",0
"RT @Dory: Ellen DeGeneres' response to Donald Trump screening ""Finding Dory"" at The White House is everything: https://t.co/8YA9FsLRBc",1
RT @iainandjane: Feels like every Tweet about Trump needs a so far on the end of it. https://t.co/qtS2tZzVlL,1
Travel Ban Keeps Scientists Out of the Lab: The scientific community has been roiled by the Trump travel ban. Like https://t.co/XlIIQeFfHs,1
RT @Impeach_D_Trump: American's Have a New Way to Salute Donald Trump https://t.co/mCnI5KY48x,1
RT @domdyer70: Trump is a compulsive liar but it's his compulsive believers we should be worried about says Nick Cohen  https://t.co/rdIH4kM8R6,0
RT @Impeach_D_Trump: Trump at Mar-a-Lago For The Weekend! It's a Good Time to Call 561-832-2600 &amp; ask to speak to the POTUS - More Numbe https://t.co/Z059lGLe4D,1
"HEY CHUCK, WE WON! CRYBABY SCHUMER Leads Chant Dump Trump! During NYC Protest https://t.co/qkQN35CGpD ? see here ?? RT ? https://t.co/Dbs5CRX4z9",1
"RT @Impeach_D_Trump: Mr. Trump, I thought we Were ""Going to be Sick Of Winning"".  You lost the popular vote and now lost to the court TW https://t.co/OzsYT8BQVw",0
"RT @naretevduorp: Any Trump supporter that still backs him after he equates our great nation to a tyrannical, murderous nation like R https://t.co/6WNyXHl4UX",0
RT @LindaSchoenberg: @zachbraff @JayWoodVegas Trump has really made America Hate Again.,0
"RT @kylegriffin1: Trump: I've had a long day. I'm tired &amp; cranky &amp; feel like I could just freak out on somebody.

Bannon: Then maybe y https://t.co/PmyAK2Xn7E",0
Trump asylum policy could upend US-Mexico relations - CNN https://t.co/YXORkNqAKR,0
"RT @TomthunkitsMind: Trump supporters got played, will pay thru 401k's, foreclosures, predatory lending, higher gas prices, sale of publ https://t.co/vGq56fYboV",0
Here are all the companies that have cut ties with the Trump family https://t.co/voEHjozQXa https://t.co/UI1BAD8LL7,0
Travellers rush to board U.S. flights while Trump ban blocked https://t.co/d4oOy2PSuK https://t.co/zTQH8at2TE,0
"RT @Conservatexian: News post: ""Dude, really? Stephen King thinks Anthony Weiner is bright but troubled; uses him to trash Trump"" https://t.co/iYKMoP5ykS",0
"RT @RawStory: 'Australia sucks, prepare to go to war': Alec Baldwin returns to SNL as Trump botching world leader calls https://t.co/fkvOIVuwIi",0
